poste,lieu,entreprise,salaire,note,description
Monteur Câbleur,Bagnères,GROUPE CAHORS POMMIER,2 k € (fourni par l’employeur),"3,3","Préparer son environnement de travail et le maintenir propre et organisé. Des connaissances en électricité serait un plus.&hellip;
Compétences: Microsoft Excel, SAS, Électricité, Production, Câblage réseau"
Enseignant (e) d'Agronomie,Les Ponts-de-Cé,CAMPUS DE POUILLE,2 k € - 3 k € (fourni par l’employeur),Non noté,"Avez une expérience antérieure dans l'enseignement, idéalement dans un cadre similaire. Êtes passionné(e) par l'éducation et motivé(e) à faire progresser vos…&hellip;
Compétences: Recherche, Expérience en classe, Formation et développement, Compétences en communication, Enseignement"
Planificateur / Planificatrice de Rendez-vous,Tournan,ETUDE HABITAT,2 k € (fourni par l’employeur),Non noté,"Planifier et confirmer les rendez-vous dans l’agenda de l’entreprise. Vous serez au cœur de notre service client, en assurant une communication efficace avec…&hellip;
Compétences: Centre d'appels, Systèmes PGI, Gestion de la production, Bureautique, Production"
Monteur en génie climatique,Montluçon,SARL BARRERE,28 k € - 32 k € (fourni par l’employeur),Non noté,"Le technicien d'études en génie climatique prend part à l’élaboration des études techniques de chauffage, de production d’eau chaude sanitaire, de ventilation/…&hellip;
Compétences: Expérience en mécanique, Service client, Électricité, Maintenance industrielle, Chauffage, ventilation et climatisation"
Commercial débutant H/F,Bayonne,RP France,2 k € - 4 k € (fourni par l’employeur),"4,6","Un suivi et un accompagnement sur le terrain. Découvrez à quoi ressemble une journée type de nos commerciaux en cliquant sur le lien suivant : *https://…&hellip;
Compétences: Vente, Prospection"
Hôte(sse) de caisse polyvalent H/F,Saint-Alban-Leysse,Alpes bureau,2 k € (fourni par l’employeur),Non noté,"Réception et mise en rayon des marchandises. Un profil souriant(e),agréable, motivé(e), ordonné(e) et multitâches et souhaité.&hellip;
Compétences: Vente, Service client, Encaissement, Manipulation d'espèces, Vente au détail"
Pédicure-Podologue Tbien ;),Coubert,Maison sante bien être,4 k € - 7 k € (fourni par l’employeur),Non noté,"Rejoignez la Maison de Santé Bien-Être, *adossée à l’EHPAD La Mélod’hier*, un lieu innovant et ouvert sur la ville, porté par une vision humaine et intégrative…&hellip;
Compétences: Soins aux patients"
Tireur/filtreur laboratoire photo H/F,Vergt,Photographie François Barreto,2 k € (fourni par l’employeur),Non noté,"24380 Vergt: Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Optionnel). Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Adobe Photoshop, Expérience en laboratoire, Contrôle qualité"
Analyste DSIS,Créteil,Valeo,Non renseigné,"3,9","Il/elle sera responsable de la vision dans son domaine ( CFD ), de la définition, de l’évaluation et de l’harmonisation des solutions avec les disciplines de…&hellip;
Compétences: Scripting, Python"
CHARGE D'ETUDE BTP DEMOLITION DESAMIANTAGE,La Talaudière,AD ARNAUD DEMOLITION,27 k € - 40 k € (fourni par l’employeur),Non noté,"Présenter l’étude au Directeur Technique pour validation . Type d'emploi : Temps plein.&hellip;
Compétences: AutoCAD, Revit, ArchiCad"
Yacht Club and Marina Marketing Manager,France,Monaco Marina Management,8 k € (fourni par l’employeur),Non noté,"Excellent communication and interpersonal skills. Develop and execute digital marketing campaigns, including website optimization, content creation, social…&hellip;
Compétences: Service client, Arabe, Anglais"
Conseiller commercial à distance : Vente par transferts en appels entrants H/F,Toulouse,HomeFriend,25 k € - 27 k € (fourni par l’employeur),"2,5","Tickets restaurant (9,20€/ticket) 60% pris en charge par l'entreprise. Nos locaux sont situés au 12 rue Louis Courtois de Viçose, Bâtiment 5, 31100 TOULOUSE.&hellip;
Compétences: Français, Vente"
Job étudiant au stade Allianz Riviera x Topivo - missions événementielles à venir !,Nice,TOPIVO RESTAURATION,"11,88 € Par heure (fourni par l’employeur)",Non noté,"Rejoignez-nous sans entretien ni prérequis !*. ✅ Inscription 100 % facile, sans entretien ni expérience requise.&hellip;
Compétences: Expérience en gestion d'équipe, Service client, Sens de l'organisation, Services aux visiteurs"
Futur collègue Chargé d'affaires,Loyettes,DONETTI,35 k € - 42 k € (fourni par l’employeur),Non noté,"Esprit d’analyse, clarté dans la communication, sens du collectif. Du lien avec le terrain, pas des tableaux Excel dans ton coin. ⛽︎ Primes selon les résultats.&hellip;
Compétences: Français, Service client, Prospection, Estimation de construction"
Auditeur Énergétique H/F,France,ETUDE HABITAT,2 k € - 3 k € (fourni par l’employeur),Non noté,"Capacité à communiquer efficacement, tant à l'oral qu'à l'écrit. Sens de l'organisation et capacité à gérer plusieurs projets simultanément.&hellip;
Compétences: Audit financier, Sens de l'organisation, Bureautique"
ASSISTANT QUALITE H/F,Bessay,Biscuits Bouvard,Non renseigné,"3,4","Réceptionner et traiter les demandes d'échantillons. Formation BAC+2 ou BAC+3 en Qualité, Agroalimentaire ou équivalent, débutant accepté.&hellip;"
palefrenier été,Senlis,HOTEL ESCAPADE,"12,08 € Par heure (fourni par l’employeur)",Non noté,"S'occuper quotidiennement des chevaux (nourriture, nettoyage des boxes, lâchage au paddock, nettoyage des écuries), faire complètement les boxes 2 fois par…&hellip;"
Responsable RH et Qualité en CDI,Armentières,PERSPECTIVE Conseil PCRH,3 k € (fourni par l’employeur),Non noté,"Déployer des projets transversaux en lien avec la politique RSO de l’association. Sensibiliser et accompagner les managers dans l’amélioration des conditions de…&hellip;
Compétences: Gestion de la qualité, Assurance qualité, Contrôle qualité, Production"
Serveur H/F,Le Barcarès,Restaurant Le Tertre,2 k € - 3 k € (fourni par l’employeur),Non noté,"URGENT recherchons SERVEUR H/F pour un démarrage dès que possible pour renforcer notre équipe. Contrat jusqu’au 30 septembre avec possibilité de logement.…&hellip;
Compétences: Service, Hôtellerie, Service client, Restauration"
Optométriste,Paris,Institut Voltaire,3 k € (fourni par l’employeur),Non noté,"MS-39 : topographe tomographe avec analyse épithéliale. IOL Master 700 : biomètre optique pour le calcul d’implants. Type d'emploi : Temps plein, CDI.&hellip;"
CDI - Technicien études électrotechnique aviation - H/F,Lorient,Naval Group,Non renseigné,"4,0","Nous sommes un acteur international dans l'industrie navale de défense depuis plus de 400 ans, repoussant continuellement les limites pour construire l'avenir.&hellip;
Compétences: AutoCAD, Anglais, Électricité"
Sales Specialist ServiceNow H/F/X,Bezons,Atos,Non renseigné,"3,5","A ce jour, 80% des sociétés du CAC 40 et SBF 120 utilisent ServiceNow, l’enjeux de l’Account Manager va donc être de mettre en place une stratégie commerciale…&hellip;
Compétences: Français, Service client, Anglais, ServiceNow, Bureautique"
Hôte(sse) parking vélos Wheelskeep Plages du Pays Basque - Sud Landes,Tarnos,Wheelskeep,"12,00 € Par heure (fourni par l’employeur)",Non noté,"Statut d'auto-entrepreneur (Optionnel). Si vous êtes disponible, intéressé et que l'univers du vélo et de l'accueil vous attire, n'hésitez pas à nous faire…&hellip;
Compétences: Espagnol, Anglais, Services aux visiteurs"
Employé polyvalent en chambres d'hôtes et conciergerie H/F,Le Bourg-d'Oisans,la cle des bois - Vaujany Services,2 k € (fourni par l’employeur),Non noté,"Bonne présentation et sens de l'organisation. Assurer le nettoyage quotidien des chambres selon les standards de l'établissement.&hellip;
Compétences: Hôtellerie, Service client, Anglais, Sens de l'organisation, Services aux visiteurs"
Vendeur 18/25 ans en alternance H/F,Roubaix,PNBS Campus Lille,Non renseigné,Non noté,"Mais pas seulement le prêt a porter, les boulangeries, les épiceries fines et bien d'autres secteurs vous ouvrent les portes. Assurer le suivi des ventes.&hellip;
Compétences: Service client, Encaissement, Vente au détail"
Assistant Chargé d’études sensorielles et consommateurs - EUROSYN – Villebon-sur-Yvette (91),Villebon,EUROSYN,26 k € - 28 k € (fourni par l’employeur),Non noté,"Bonne maîtrise de l’anglais (lu et écrit au minimum). Idéalement connaissance des outils appliqués aux tests consommateurs (RedJade, LimeSurvey, …) et des…&hellip;
Compétences: Microsoft Powerpoint, Anglais, Microsoft Office, Sens de l'organisation"
Manœuvre signalisation routière,Périgny,VIAXE,"12,00 € - 30,63 € Par heure (fourni par l’employeur)",Non noté,"Pour notre société de signalisation à La Rochelle (17) en plein développement, nous sommes à la recherche de deux Manoeuvres SIGNALISATION (H/F). Formation…&hellip;
Compétences: Port de charges lourdes, Production, Chargement et déchargement"
Welcome Host (H/F),Archamps,Uxco Management,31 k € (fourni par l’employeur),"2,5","Vous êtes diplômé d’une formation dans l’hôtellerie ou l'immobilier. Le Welcome Host est en première ligne de l’accueil des résidents et visiteurs.&hellip;
Compétences: Service client, Anglais, Compétences en communication"
Vendangeurs H/F,La Londe,Domaines Ott,"12,11 € Par heure (fourni par l’employeur)","3,7",\_ Porter des sauts équivalents à 10 kg maximum. Prise en charge du transport quotidien.&hellip;
Support utilisateurs - Fonctions administratives,Paris,ADD UP,Non renseigné,"2,4","Née d'une passion pour les nouvelles technologies, l'équipe d'ADD UP propose des prestations de conseil à forte valeur ajoutée à ses clients.&hellip;
Compétences: Anglais, Sens de l'organisation"
Conducteur malaxeur pompe,Saints-Geosmes,TRANSMAT,2 k € - 3 k € (fourni par l’employeur),Non noté,"PME à l'échelle humaine depuis 2000, reconnue pour la qualité de son matériel te de son travail, cherche afin de compléter son équipe un chauffeur PL pour…&hellip;
Compétences: Conduite de véhicule, Expérience de chauffeur-livreur, Chargement et déchargement"
CDI - Technicien Soutien Intégré S3G - H/F,Brest,Naval Group,Non renseigné,"4,0",Organiser et planifier l'activité liée aux installations sous votre responsabilité. Nous sommes un acteur international dans l'industrie navale de défense…&hellip;
"Forfaitiste Allemagne, Bénélux, Europe de l'Est et USA(H/F)",Charnay,Capital Culturel Européen,2 k € (fourni par l’employeur),Non noté,"2 semaines libres à poser dans l’année (en fonction des contraintes du poste). Maîtrise des outils bureautiques (Excel, Word, Outlook).&hellip;
Compétences: Compétences rédactionnelles, Anglais, Sens de l'organisation, Bureautique"
Technicien/ingénieur géomètre H/F,Marignane,Hélène Chéret Recrutement EI,28 k € - 39 k € (fourni par l’employeur),Non noté,"Parce que l’équipe qui vous attend travaille avec passion depuis plus de 20 ans, nous cherchons *la bonne personne pour rejoindre ce cabinet humain, polyvalent…&hellip;
Compétences: AutoCAD, Collecte de données"
Vendeur conseil H/F (35h),Lyon,Groupe Nap - MAISON DE LA PRESSE,2 k € (fourni par l’employeur),"2,8","O gérer l’organisation et la mise en rayon. Si ces missions vous parlent et que vous souhaitez vous lancer dans une nouvelle aventure en renforçant l’équipe…&hellip;
Compétences: Vente, Service client, Encaissement"
Plongeur/Commis de cuisine H/F,Les Rousses,LE CHALET DU LAC,2 k € (fourni par l’employeur),Non noté,"Le Chalet du Lac ( https://restaurant-chaletdulac.com/) recrute un(e) Plongeur et un Commis de cuisine Restaurant situé dans un cadre idyllique avec une…&hellip;
Compétences: Service, Hôtellerie, Service client, Restauration"
Crepier/e,Soorts-Hossegor,GROUPE,2 k € - 3 k € (fourni par l’employeur),Non noté,"[NE PAS POSTULER SI VOUS N’ÊTES PAS CREPIER SVP]. SALAIRE NET 2000 POUR 39H ET PRIME ASSIDUITÉ JUILLET AOÛT (SALAIRE SELON EXPÉRIENCE).&hellip;
Compétences: Service client, Préparation culinaires, Préparation des aliments, Sécurité alimentaire, Restauration"
Téléconseiller F/H,Juillan,FOUNDEVER,2 k € (fourni par l’employeur),"4,0","Vous avez le goût du challenge, vous aimez renseigner et vendre au téléphone, vous êtes à l’aise à l’oral et en informatique, alors *rejoignez-nous !*.&hellip;
Compétences: Vente, Service client, Salesforce, Esprit d'analyse, Gestion de la relation client"
Mécanicien Véhicule sans Permis (h/f),Mougins,Groupe CAVALLARI,2 k € (fourni par l’employeur),Non noté,"Ce poste convient à toute personne sérieuse, rigoureuse souhaitant rejoindre une équipe motivée et dynamique. Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Expérience en mécanique, Service client, Électricité, Soudage, Maintenance industrielle"
Serveur temps partiel ou temps plein,Clermont-Ferrand,LES BERTHOM,Non renseigné,"4,3","Je suis ouvert à des profils diversifiés, provenant de différents secteurs d'activités avec un leadership naturel, une énergie communicative et l’envie…&hellip;
Compétences: Service, Service client, Service en restauration, Service de bar"
Télévendeur / Téléconseiller en CDI - F/H,Nice,Santiane,2 k € - 5 k € (fourni par l’employeur),"3,7","Formation diplômante jusqu’au BAC +5 (Ecole Supérieure de l’Assurance). Fourchette de rémunération : Entre 1 801,80€ à 5 000€ brut par mois (salaire fixe…&hellip;"
Runner H/F (CDD),Beaucouzé,EphemeraGroup,2 k € (fourni par l’employeur),"5,0","Si tu as l’âme créative, l’envie de casser les codes et de faire partie d’une équipe dynamique et ambitieuse, alors EPHEMERA t'attend.&hellip;
Compétences: Service en restauration, Restauration"
After school Nanny in english (M/F),Paris,Momji,Non renseigné,"3,9","Momji is looking for an english nanny in PARIS 8E ARRONDISSEMENT(08) for 5 hours work a week to look after 1 child(ren). No minimum level of French required,.&hellip;
Compétences: Anglais"
Commercial Terrain,Paris,FRANCE ENERGIE,15 k € - 26 k € (fourni par l’employeur),Non noté,"France Solaire Habitat recherche de nouveaux profils ambitieux, indépendants, professionnels, voulant s'inscrire dans une véritable histoire humaine.&hellip;
Compétences: Français, Vente"
Opérateur polyvalent H/F,Verlinghem,EURO T.V.S,Non renseigné,"3,5","Port de charges : de 5 à 10 kg. Au sein du service production d'une société de traitement de documents, vous serez chargé de la gestion des documents.&hellip;
Compétences: Bureautique"
Enquêteur,Clermont-Ferrand,C-QUALITE,"11,88 € - 13,54 € Par heure (fourni par l’employeur)",Non noté,"Les JEUDI 17 JUILLET / SAMEDI 19 JUILLET / DIMANCHE 20 JUILLET. Disponible soit le matin (6h à 12h). Ou après-midi (jusqu'à 20h ou plus).&hellip;
Compétences: Prospection commerciale, Contrôle des stocks, Vente, Service client, Conception de sondages"
Vendangeurs H/F,Nuits-Saint-Georges,DOMAINE FAIVELEY,"12,00 € - 13,00 € Par heure (fourni par l’employeur)",Non noté,"Depuis 7 générations, la famille FAIVELEY produit de grands vins de Bourgogne. En cours de certification Agriculture Biologique, le Domaine recrute ses…&hellip;
Compétences: Équipements agricoles"
Techniciens de Raccordement FTTH,Aubergenville,OPTICOM,2 k € (fourni par l’employeur),Non noté,"Nous recherchons dans le cadre d’un accroissement d’activité des Techniciens de Raccordement FTTH. Capacité de travail en hauteur et différenciation des…&hellip;
Compétences: Électricité, Bureautique, Soudage, Basse tension, Outils manuels"
AGENT POLYVALENT RESTAURATION H/F,Dijon,Armée de l'Air et de l'Espace,Non renseigné,"4,1","La formation militaire se déroule pendant huit semaines au Centre de Préparation Opérationnelle du Combattant de l’Armée de l'air (CPOCAA) à Orange (Vaucluse).&hellip;
Compétences: Service en restauration, Restauration"
Aesh privé,Saint-Leu,A.E.S.H,"15,00 € - 20,00 € Par heure (fourni par l’employeur)",Non noté,"Soutien à la communication, au langage, à l’autonomie. Coordination avec l’équipe éducative et les thérapeutes. Rémunération selon profil et expérience.&hellip;
Compétences: Microsoft Excel, Expérience administrative, Santé publique, Sens de l'organisation"
Serveur/Serveuse polyvalent(e),Grospierres,Groupe Restoleil,2 k € (fourni par l’employeur),"4,5","Accueillir et installer les clients avec le sourire. Salaire de 1900 à 2000e net mensuel selon expérience. Servir les plats et boissons de manière efficace et…&hellip;
Compétences: Service, Service client"
CONSULTANT FONCTIONNEL BW/BI H/F,Ceyzériat,Biscuits Bouvard,Non renseigné,"3,4","Vous intervenez comme expert BI pour le groupe auprès des Business Units à l’international. Vous maitrisez a minima les outils décisionnels SAP (BW/4Hana 2.0,…&hellip;
Compétences: Power BI, Veille économique, SAP BW/4HANA, SQL"
IDEAL JOB ETUDIANT ETE 2025,Annecy,NETO VITE,2 k € (fourni par l’employeur),Non noté,"Type d'emploi : Temps plein, CDD. Prise en charge du transport quotidien. Lieu du poste : En présentiel.&hellip;"
Formateur initiation au langage des signes EN PRESENTIEL,Tourcoing,ecosup campus,"27,62 € Par heure (fourni par l’employeur)",Non noté,"ECOSUP CAMPUS, est une école privée d'enseignement supérieur, située à Tourcoing. Dans le cadre d'un module ""initiation au langage des signes"" sur deux…&hellip;
Compétences: Électricité, Expérience en classe, Enseignement, Formation pour adultes, Soins infirmiers"
Plongeur (H/F),Montpellier,Brasserie Le M by MHR,"12,00 € Par heure (fourni par l’employeur)",Non noté,Assurer la plonge de la vaisselle et des ustensiles de cuisine (environ *200 couverts par jour*).&hellip;
Vendeur polyvalent en magasin Bio H/F - temps plein ou partiel,Morzine,La Vie Claire,Non renseigné,"3,6","Développer les ventes, assurer l'encaissement des clients avec les membres de votre équipe. Vous avez un bon contact client, vous êtes dynamique et cordial(e).&hellip;"
Devenez Analyste Crédit à l'international H/F en rejoignant notre Mastère en alternance !,Île-de-France,Ascencia Business School,Non renseigné,"3,3","Collecter et interpréter des données financières (bilans, diagnostics). Bac +3 (Licence / Bachelor) (Requis).&hellip;
Compétences: Français"
Commercial sédentaire sans prospection H/F,Villenave,INNOVA CIE,Non renseigné,Non noté,"Tu es fiable, *motivé(e)*, à l’aise avec un ordi. Tu travailles avec les meilleurs outils et le soutien d’une équipe soudée. Type d'emploi : Temps plein.&hellip;
Compétences: Service client"
Vendanges 2025 (H/F) - CDD saisonnier,Chagny,DOMAINE DE LA FOLIE,"11,88 € Par heure (fourni par l’employeur)",Non noté,"71150 Chagny: Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Optionnel). Domaine situé à Chagny (71150) en Bourgogne.&hellip;
Compétences: Développement web, Expérience administrative, Responsable de bureau, Équipements agricoles, Marketing"
saisonnier agricole H/F,Lucé,GE Sans Pierre,"11,88 € Par heure (fourni par l’employeur)",Non noté,"La période de forte activité du Groupement est *la saison d’arrachage des pommes de terre* se déroulant de *fin juillet à début octobre*, pour cette période,…&hellip;"
ASSISTANT QUALITE H/F,Bessay,Biscuits Bouvard,Non renseigné,"3,4","Réceptionner et traiter les demandes d'échantillons. Formation BAC+2 ou BAC+3 en Qualité, Agroalimentaire ou équivalent, débutant accepté.&hellip;"
Assistant Chargé d’études sensorielles et consommateurs - EUROSYN – Villebon-sur-Yvette (91),Villebon,EUROSYN,26 k € - 28 k € (fourni par l’employeur),Non noté,"Bonne maîtrise de l’anglais (lu et écrit au minimum). Idéalement connaissance des outils appliqués aux tests consommateurs (RedJade, LimeSurvey, …) et des…&hellip;
Compétences: Microsoft Powerpoint, Anglais, Microsoft Office, Sens de l'organisation"
Planificateur.trice de la demande,Courbevoie,ENGIE,Non renseigné,"3,9","Effectuer une veille sur l’approvisionnement en matières indispensables aux activités ; Dans le cadre de la transition énergétique, nous accompagnons chaque…&hellip;
Compétences: Français, Power BI, Oracle, Approvisionnement, Compétences rédactionnelles"
Welcome Host (H/F),Archamps,Uxco Management,31 k € (fourni par l’employeur),"2,5","Vous êtes diplômé d’une formation dans l’hôtellerie ou l'immobilier. Le Welcome Host est en première ligne de l’accueil des résidents et visiteurs.&hellip;
Compétences: Service client, Anglais, Compétences en communication"
Technicien itinérant - Mesures Physiques et essais HF,Lyon,CBC,24 k € - 26 k € (fourni par l’employeur),Non noté,"Prise de mesures de température et de pression des appareils (dispositifs médicaux) chez nos clients sur la région Rhône Alpes (et autres selon les nécessités…&hellip;
Compétences: Collecte de données"
Ingénieur son H/F,France,CLAP PRODUCTIONS,Non renseigné,Non noté,"Collaboration avec l’équipe image pour garantir une synchronisation fluide. Dérushage, nettoyage et synchronisation des pistes audio avec l’image.&hellip;
Compétences: Microsoft Office, Gestion de projet, Marketing digital, Sens de l'organisation, Marketing"
Conseiller Patrimonial MIA H/F,Charenton,Predictis,Non renseigné,"4,4","*Maîtrise du français *est indispensable. Il y a plusieurs types de commissionnement en fonction des produits proposés au client.&hellip;
Compétences: Français"
Client Operations Executive,Boulogne-Billancourt,Corpay,Non renseigné,"3,2","Coordinate outage communication when needed. Ensure appropriate marketing material supports launches. Maintain up-to-date knowledge of PBP products and…&hellip;
Compétences: Microsoft Powerpoint, Français, Anglais, Technologies de l'information"
Responsable des Systèmes d'Information H/F,Orléans,OGEC COURS SAINT-CHARLES,30 k € - 35 k € (fourni par l’employeur),Non noté,"Sous l’autorité du chef d’établissement, en lien étroit avec le directeur administratif, financier et technique, la/le Responsable des systèmes d'information…&hellip;
Compétences: Informatique, Microsoft Office, Gestion de bases de données, Technologies de l'information, Linux"
Auxiliaire Spécialisée Vétérinaire H/F,Giberville,Univet,2 k € (fourni par l’employeur),Non noté,"Hygiène et maintenance des locaux, du matériel et des textiles professionnels ; Préparation et hygiène du matériel médical et chirurgical ;&hellip;
Compétences: Soin aux animaux de compagnie, Français, Stérilisation, Expérience en laboratoire, Secrétariat médical"
Chargé(e) de recrutement H/F - CDD,La Madeleine,HAPPYSITTERS,2 k € (fourni par l’employeur),"4,6","Passionné par l’humain ou intéressé pour découvrir un métier porté sur l’humain. Happysitters est notée 4,8/5 par ses salariés.&hellip;
Compétences: Vente, Négociation"
Graduate Management Program (F/H/X),Toulon,Sixt France,3 k € (fourni par l’employeur),"3,6","Langues Vous maîtrisez le français et l’anglais couramment à l’oral comme à l’écrit. Si vous avez l’ambition et la curiosité que nous recherchons et souhaitez…&hellip;
Compétences: Français, Vente, Service client, Anglais, Acuité financière"
Conseiller en Assurances (H/F),Puget-sur-Argens,"Experia Conseils - De 1 801,84€ € à 5 000,00 € par mois",2 k € - 5 k € (fourni par l’employeur),"1,0","Si tu es prêt à relever le défi, viens rejoindre notre équipe pour participer à l’aventure.*. Nous ne sommes pas focalisés sur tes années d’expérience, ce que…&hellip;
Compétences: Vente, Service client, Vente d'assurance, Négociation"
Ouvrier Agricole,Valleroy,Nestlé Waters,Non renseigné,"4,1",C’est pour ces raisons qu’AGRIVAIR recherche un ouvrier agricole pour compléter son équipe opérationnelle.&hellip;
gerant de snack,France,Dream Beach,2 k € - 4 k € (fourni par l’employeur),Non noté,"Gérer les plannings de l'équipe pour optimiser le service. Superviser l'équipe de service et assurer une bonne coordination des tâches.&hellip;
Compétences: Expérience en gestion d'équipe, Service client, Expérience en supervision, Gestion d'équipe, Securité"
Gestionnaire assurance expatriés trilingue : néerlandais / anglais F/H,Paris,APRIL,Non renseigné,"3,5","Informer et apporter un maximum de visibilité sur l’avancement des démarches. N'attendez plus pour postuler en nous adressant votre CV accompagné de quelques…&hellip;
Compétences: Français, Multilingue, Service client, Anglais, Esprit d'analyse"
Orthoptiste,Caluire-et-Cuire,Ultravision,"17,00 € Par heure (fourni par l’employeur)","2,7","Vous rejoindrez Ultravision, notre centre moderne à Caluire-et-Cuire, les mardis et vendredis (possibilité de travailler également les samedis).&hellip;
Compétences: Anatomie, Physiologie, Soins aux patients, Terminologie médicale"
Technicien(ne) Portes Automatiques,Mougins,Open Control,2 k € - 3 k € (fourni par l’employeur),Non noté,"Un technicien portes automatiques et fermetures automatiques*. La maintenance des installations de fermetures automatiques.&hellip;
Compétences: Schémas, Esprit d'analyse, Électricité, Équipement informatique, Securité"
Assistant(e) commercial informatique,La Rochelle,NERIS,2 k € (fourni par l’employeur),Non noté,"Fort de ses 16 années d'expériences dans l'administration de système informatique, NERIS souhaite étendre son offre en réseau et Telecom (Internet et Mobile) et…&hellip;
Compétences: Service client, Bureautique, Télémarketing"
CDI 8H SEMAINE,Saint-Barthélemy,CLASS'CROUTE,Non renseigné,"2,5","Force de proposition : nous sommes à l’écoute de toutes bonnes idées pour améliorer le restaurant. Si vous pensez être en adéquation avec nos attentes alors…&hellip;
Compétences: Vente, Service client, Encaissement, HACCP, Manipulation d'espèces"
Chargé(e) d'admission et de placement (F/H),Lyon,Oktogone Group,Non renseigné,"3,5",Entreprise Oktogone Group est un acteur de référence de la formation et de l’emploi à l’ère du digital qui conjugue au travers de ses différentes marques un…&hellip;
Agent d'accueil H/F,Versailles,ASTEL,2 k € (fourni par l’employeur),Non noté,"Excellente présentation et capacité de communication. La durée hebdomadaire de travail est de 35 heures, réparties sur 5 ou 6 jours selon le poste, sur une…&hellip;
Compétences: Français, Anglais, Expérience administrative, Sens de l'organisation, Compétences en communication"
Ouvrier polyvalent - Café - Distribution automatique en atelier H/F,Compans,Vesto,2 k € (fourni par l’employeur),Non noté,Nous avons de grandes ambitions pour cette nouvelle activité et 3 techniciens seront recrutés cette année. *De bonne humeur et prenez votre travail à cœur* : le…&hellip;
Stagiaire agronome horticulture,Paris,Wesh Grow,639 € (fourni par l’employeur),Non noté,"Aide à la préparation des semis et de l’activité. Assistance à la conduite de projet d’innovations et lancement de nouvelles variétés de fleurs.&hellip;
Compétences: Analyse de données, Recherche, Esprit d'analyse"
Serveur (H/F),Clermont-Ferrand,HOTEL NOVOTEL,2 k € (fourni par l’employeur),Non noté,"Accueillir le client comme si c’était chez lui, l’écouter et le conseiller. Comme tout restaurant qui se respecte, saches que les gros services et les…&hellip;
Compétences: Service client, Anglais"
Manager H/F,Bourg,THE ROSTER - RSTR,2 k € (fourni par l’employeur),"5,0","Une personne dédié t’accompagnera et te conseillera au quotidien sur l’hygiène de ton restaurant. Une organisation « carré », au sein de laquelle tu seras payé…&hellip;
Compétences: Expérience en gestion d'équipe, Expérience administrative, Gestion d'équipe, Service en restauration, Leadership"
Agent d'accueil culturel H/F,Vallon,GROTTE CHAUVET 2 ARDECHE,2 k € (fourni par l’employeur),"3,8","Sous la responsabilité du chef de service, de manière générale, l’agent d’accueil culturel participe aux activités d’accueil des visiteurs sur le site, dans un…&hellip;
Compétences: Français, Service client, Anglais, Réception"
Employé polyvalent de parc d’attractions,Gujan-Mestras,KID PARC AQUITAINE,2 k € (fourni par l’employeur),Non noté,"Une ambiance de travail conviviale dans un environnement original et stimulant. Une formation aux différents postes assurée en interne.&hellip;
Compétences: Service client, Anglais, Service en restauration, Services aux visiteurs, Restauration"
Opérateur(trice) Polyvalent(e) H/F,Essey,WeWash,2 k € (fourni par l’employeur),Non noté,"*Savoir être commerçant :* Renseigner notre clientèle et lui proposer l’offre la plus appropriée à son besoin. *Curieux*(se), désireux(se) d’apprendre.&hellip;
Compétences: Service client"
Opérateur de production H/F,Strasbourg,EURO T.V.S,Non renseigné,"3,5","Port de charges : de 5 à 10 kg. Au sein du service production d'une société de traitement de documents, vous serez chargé de la gestion des documents.&hellip;
Compétences: Bureautique"
Stagiaire en salle H/F,Propriano,A'mare Corsica Seaside Small Resort,750 € - 850 € (fourni par l’employeur),Non noté,"Dynamique, motivé(e) et doté(e) d’un excellent sens du service. Accueillir et conseiller la clientèle avec professionnalisme et convivialité.&hellip;
Compétences: Anglais"
Technicien électrotechnique H/F,Beychac-et-Caillau,LAMOUROUX S A S,2 k € (fourni par l’employeur),Non noté,"Réaliser des schémas électriques pour le lancement en fabrication. *Lire* des plans de montage. Au-delà, c’est votre personnalité et votre motivation qui…&hellip;
Compétences: Schémas, Lecture de plans, Soudage, Production"
MECANICIEN H/F,Lezoux,Agence Renault Lezoux Garage MB2J,Non renseigné,Non noté,"Minimum bac professionnel maintenance automobile. Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Expérience en mécanique, Service client, Maintenance industrielle"
Plombier H/F,Bordeaux,LES BONS PLOMBIERS,2 k € - 3 k € (fourni par l’employeur),Non noté,"Recherche de fuite avec rédaction de rapport: 5 ans (Requis). SOCIÉTÉ SOUS CONTRAT AVEC DES ASSISTEURS ET ASSUREURS. NOTIONS CARRELAGE EST UN PLUS.&hellip;
Compétences: Français, Chaudière, Peinture en bâtiment, Service client, Électricité"
IMATECH - Chargé d'Analyses & de Planification H/F,Nantes,Groupe IMA,27 k € (fourni par l’employeur),"4,0","Le/la Chargé(e) d’analyse et de planification joue un rôle essentiel dans l'exploitation des outils de pilotage et la prise de décision opérationnelle : grâce à…&hellip;
Compétences: Statistiques, Power BI, Service client, Microsoft Office"
